file	line	count	function
include/rift/discrete_state.hpp	90	0	rift::detail::FieldGroupSpaceData<2>::~FieldGroupSpaceData()
include/rift/discrete_state.hpp	90	0	rift::detail::FieldGroupSpaceData<3>::~FieldGroupSpaceData()
include/rift/discrete_state.hpp	93	0	rift::detail::SpaceDraftData<3>::~SpaceDraftData()
include/rift/discrete_state.hpp	96	0	rift::detail::SpaceSnapshotData<2>::~SpaceSnapshotData()
include/rift/discrete_state.hpp	96	0	rift::detail::SpaceSnapshotData<3>::~SpaceSnapshotData()
include/rift/discrete_state.hpp	508	0	rift::PhaseSupport::phase() const
include/rift/discrete_state.hpp	510	0	rift::PhaseSupport::mesh_id() const
include/rift/discrete_state.hpp	588	0	rift::LevelSetFieldGroupSpecification::LevelSetFieldGroupSpecification(rift::LevelSetFieldGroupSpecification const&)
include/rift/discrete_state.hpp	633	0	rift::RegionalEntrySpecification::RegionalEntrySpecification(rift::RegionalEntrySpecification&&)
include/rift/discrete_state.hpp	633	0	rift::RegionalEntrySpecification::operator=(rift::RegionalEntrySpecification&&)
include/rift/discrete_state.hpp	748	0	rift::RegionalEntry::RegionalEntry(rift::RegionalEntry&&)
include/rift/discrete_state.hpp	748	0	rift::RegionalEntry::~RegionalEntry()
include/rift/discrete_state.hpp	783	0	rift::StateLayout::level_set_group() const
include/rift/discrete_state.hpp	785	0	rift::StateLayout::communicator() const
include/rift/discrete_state.hpp	868	0	rift::detail::StateLayoutAccess::mesh_lifetime(rift::StateLayout const&)
include/rift/discrete_state.hpp	894	0	rift::FieldGroupSpace<3>::FieldGroupSpace(rift::FieldGroupSpace<3> const&)
include/rift/discrete_state.hpp	894	0	rift::FieldGroupSpace<3>::FieldGroupSpace(rift::FieldGroupSpace<3>&&)
include/rift/discrete_state.hpp	894	0	rift::FieldGroupSpace<3>::~FieldGroupSpace()
include/rift/discrete_state.hpp	923	0	rift::FieldGroupSpace<3>::FieldGroupSpace(std::shared_ptr<rift::detail::FieldGroupSpaceData<3> const>, rift::PhaseReference)
include/rift/discrete_state.hpp	951	0	rift::LevelSetFieldSpace<3>::LevelSetFieldSpace(rift::LevelSetFieldSpace<3> const&)
include/rift/discrete_state.hpp	951	0	rift::LevelSetFieldSpace<3>::LevelSetFieldSpace(rift::LevelSetFieldSpace<3>&&)
include/rift/discrete_state.hpp	951	0	rift::LevelSetFieldSpace<3>::~LevelSetFieldSpace()
include/rift/discrete_state.hpp	976	0	rift::LevelSetFieldSpace<3>::LevelSetFieldSpace(std::shared_ptr<rift::detail::FieldGroupSpaceData<3> const>)
include/rift/discrete_state.hpp	1001	0	rift::SpaceDraft<3>::SpaceDraft(rift::SpaceDraft<3>&&)
include/rift/discrete_state.hpp	1003	0	rift::SpaceDraft<2>::operator=(rift::SpaceDraft<2>&&)
include/rift/discrete_state.hpp	1003	0	rift::SpaceDraft<3>::operator=(rift::SpaceDraft<3>&&)
include/rift/discrete_state.hpp	1009	0	rift::SpaceDraft<3>::~SpaceDraft()
include/rift/discrete_state.hpp	1027	0	rift::SpaceDraft<3>::SpaceDraft(std::shared_ptr<rift::detail::SpaceDraftData<3> const>)
include/rift/discrete_state.hpp	1050	0	rift::SpaceSnapshot<3>::SpaceSnapshot(rift::SpaceSnapshot<3>&&)
include/rift/discrete_state.hpp	1050	0	rift::SpaceSnapshot<3>::~SpaceSnapshot()
include/rift/discrete_state.hpp	1071	0	rift::SpaceSnapshot<3>::SpaceSnapshot(std::shared_ptr<rift::detail::SpaceSnapshotData<3> const>)
include/rift/discrete_state.hpp	1108	0	rift::SpaceRegistry<3>::~SpaceRegistry()
include/rift/discrete_state.hpp	1756	0	rift::detail::FieldGroupSpaceData<3>::FieldGroupSpaceData(std::shared_ptr<rift::MeshSnapshot<3> const>, rift::SpaceProvenance, rift::StrongId<rift::detail::FieldGroupIdTag, unsigned int>, std::optional<rift::PhaseReference>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, unsigned int, std::shared_ptr<rift::PhaseSupport const>, unsigned int)
include/rift/discrete_state.hpp	1832	0	rift::detail::SpaceDraftData<3>::SpaceDraftData(std::shared_ptr<rift::MeshSnapshot<3> const>, rift::SpaceProvenance, std::vector<rift::FieldGroupSpace<3>, std::allocator<rift::FieldGroupSpace<3>>>, rift::LevelSetFieldSpace<3>)
include/rift/discrete_state.hpp	1891	0	rift::detail::SpaceSnapshotData<3>::SpaceSnapshotData(std::shared_ptr<rift::MeshSnapshot<3> const>, rift::SpaceProvenance, std::vector<rift::FieldGroupSpace<3>, std::allocator<rift::FieldGroupSpace<3>>>, rift::LevelSetFieldSpace<3>, rift::StateLayout)
include/rift/discrete_state.hpp	2138	0	rift::detail::$_3::__invoke(int, int&, int)
include/rift/discrete_state.hpp	2138	0	rift::detail::$_3::operator()(int, int&, int) const
include/rift/discrete_state.hpp	2192	0	decltype(auto) rift::detail::invoke_space_fatal_boundary<rift::SpaceRegistry<3>::begin_draft_with_reserved(rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>, std::expected<rift::StrongId<rift::detail::SpaceEpochTag, unsigned long>, rift::SpaceBuildError>, std::optional<unsigned int>, void (*)()) const::'lambda'()>(std::shared_ptr<rift::detail::RunConfigurationControl const> const&, rift::SpaceRegistry<3>::begin_draft_with_reserved(rift::PhaseGraph const&, rift::SpaceSpecification, std::vector<rift::PhaseSupportSpecification, std::allocator<rift::PhaseSupportSpecification>>, std::expected<rift::StrongId<rift::detail::SpaceEpochTag, unsigned long>, rift::SpaceBuildError>, std::optional<unsigned int>, void (*)()) const::'lambda'()&&)
include/rift/discrete_state.hpp	2192	0	decltype(auto) rift::detail::invoke_space_fatal_boundary<rift::SpaceRegistry<3>::finalize_with_hook(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const::'lambda'()>(std::shared_ptr<rift::detail::RunConfigurationControl const> const&, rift::SpaceRegistry<3>::finalize_with_hook(rift::SpaceDraft<3>&, std::vector<rift::RegionalEntrySpecification, std::allocator<rift::RegionalEntrySpecification>>, void (*)()) const::'lambda'()&&)
include/rift/discrete_state.hpp	2558	0	void rift::detail::visit_non_artificial_cell<std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> rift::detail::hanging_face_additions<3>(dealii::Triangulation<3, 3> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&)::'lambda'()::operator()() const::'lambda'()>(bool, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> rift::detail::hanging_face_additions<3>(dealii::Triangulation<3, 3> const&, std::set<dealii::CellId, std::less<dealii::CellId>, std::allocator<dealii::CellId>> const&)::'lambda'()::operator()() const::'lambda'()&&)
